SeqNo,Date,Time,microSec,Seq,Pid,Dp,Dv,Bp1,Bp2,Bp3,Bp4,Bp5,Sp1,Sp2,Sp3,Sp4,Sp5,Bv1,Bv2,Bv3,Bv4,Bv5,Sv1,Sv2,Sv3,Sv4,Sv5,ptype,Tvolume,Status,MulticastGroup,MsgTime
55043736,2018/4/13,84500062,0,33,TXFD8,10966,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,225.0.100.100:10000,84500067
55043932,2018/4/13,84500066,0,62,TXFD8,10966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,577,0,225.0.100.100:10000,84500080
55043755,2018/4/13,84500068,0,1934,TXFD8,0,0,10966,10965,10964,10963,10962,10967,10968,10969,10970,10971,63,41,11,11,19,19,29,20,114,13,1,0,0,225.0.100.100:10000,84500068
55043940,2018/4/13,84500068,0,70,TXFD8,10966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,578,0,225.0.100.100:10000,84500080
55043941,2018/4/13,84500069,0,71,TXFD8,10966,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,580,0,225.0.100.100:10000,84500080
55044377,2018/4/13,84500081,0,2411,TXFD8,0,0,10966,10965,10964,10963,10962,10967,10968,10969,10970,10971,59,42,11,11,19,19,29,20,115,13,1,0,0,225.0.100.100:10000,84500081
55044744,2018/4/13,84500081,0,78,TXFD8,10967,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,582,0,225.0.100.100:10000,84500098
55044745,2018/4/13,84500084,0,79,TXFD8,10967,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,584,0,225.0.100.100:10000,84500098
55044746,2018/4/13,84500089,0,80,TXFD8,10967,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,586,0,225.0.100.100:10000,84500098
55044747,2018/4/13,84500097,0,81,TXFD8,10967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,587,0,225.0.100.100:10000,84500098
