shiftThreshold,lagBook,pnl
0.1,1,-113759.98444689976
0.1,2,-65559.98444689976
0.1,3,-46559.98444689976
0.1,4,-38559.98444689976
0.1,5,-44359.98444689976
0.1,6,-37759.98444689976
0.1,7,-40359.98444689976
0.1,8,-36759.98444689976
0.1,9,-33359.98444689976
0.1,10,-28159.98444689976
0.1,11,-23559.98444689976
0.1,12,-22759.98444689976
0.1,13,-18559.98444689976
0.1,14,-21559.98444689976
0.1,15,-25359.98444689976
0.1,16,-27359.98444689976
0.1,17,-34959.98444689976
0.1,18,-35959.98444689976
0.1,19,-41359.98444689976
0.1,20,-45959.98444689976
0.1,21,-48159.98444689976
0.1,22,-48959.98444689976
0.1,23,-54359.98444689976
0.1,24,-62959.98444689976
0.1,25,-61559.98444689976
0.1,26,-68959.98444689976
0.1,27,-67159.98444689976
0.1,28,-60759.98444689976
0.1,29,-64359.98444689976
0.1,30,-61559.98444689976
0.1,31,-63559.98444689976
0.1,32,-63959.98444689976
0.1,33,-61759.98444689976
0.1,34,-61159.98444689976
0.1,35,-52959.98444689976
0.1,36,-58959.98444689976
0.1,37,-61159.98444689976
0.1,38,-61159.98444689976
0.1,39,-52159.98444689976
0.1,40,-55559.98444689976
0.1,41,-51959.98444689976
0.1,42,-47759.98444689976
0.1,43,-49559.98444689976
0.1,44,-45159.98444689976
0.1,45,-48559.98444689976
0.1,46,-50759.98444689976
0.1,47,-57959.98444689976
0.1,48,-59559.98444689976
0.1,49,-51759.98444689976
0.1,50,-53759.98444689976
0.1,51,-48159.98444689976
0.1,52,-49559.98444689976
0.1,53,-54759.98444689976
0.1,54,-64359.98444689976
0.1,55,-72959.98444689976
0.1,56,-64559.98444689976
0.1,57,-62359.98444689976
0.1,58,-63159.98444689976
0.1,59,-63759.98444689976
0.1,60,-61559.98444689976
0.1,61,-60359.98444689976
0.1,62,-57959.98444689976
0.1,63,-56559.98444689976
0.1,64,-58959.98444689976
0.1,65,-54759.98444689976
0.1,66,-48359.98444689976
0.1,67,-37359.98444689976
0.1,68,-32759.98444689976
0.1,69,-28159.98444689976
0.1,70,-17559.98444689976
0.1,71,-17159.98444689976
0.1,72,-20559.98444689976
0.1,73,-16959.98444689976
0.1,74,-21759.98444689976
0.1,75,-18559.98444689976
0.1,76,-4759.984446899762
0.1,77,-5559.984446899762
0.1,78,-159.98444689976168
0.1,79,12240.015553100238
0.1,80,15840.015553100238
0.1,81,16440.01555310024
0.1,82,24040.01555310024
0.1,83,23640.01555310024
0.1,84,26840.01555310024
0.1,85,28240.01555310024
0.1,86,22840.01555310024
0.1,87,29840.01555310024
0.1,88,32440.01555310024
0.1,89,38440.01555310024
0.1,90,40440.01555310024
0.1,91,33240.01555310024
0.1,92,31240.01555310024
0.1,93,28640.01555310024
0.1,94,31840.01555310024
0.1,95,23440.01555310024
0.1,96,19040.01555310024
0.1,97,23840.01555310024
0.1,98,33840.01555310024
0.1,99,30240.01555310024
0.2,1,-46305.29524958583
0.2,2,-21705.295249585834
0.2,3,-11105.295249585834
0.2,4,-5105.2952495858335
0.2,5,-9705.295249585834
0.2,6,-5905.2952495858335
0.2,7,-4905.2952495858335
0.2,8,-505.2952495858335
0.2,9,1894.7047504141665
0.2,10,5294.7047504141665
0.2,11,8894.704750414166
0.2,12,6894.7047504141665
0.2,13,5894.7047504141665
0.2,14,6494.7047504141665
0.2,15,7494.7047504141665
0.2,16,4294.7047504141665
0.2,17,2094.7047504141665
0.2,18,-3505.2952495858335
0.2,19,-10105.295249585834
0.2,20,-10905.295249585834
0.2,21,-13105.295249585834
0.2,22,-12905.295249585834
0.2,23,-16105.295249585834
0.2,24,-19505.295249585834
0.2,25,-20305.295249585834
0.2,26,-25705.295249585834
0.2,27,-24705.295249585834
0.2,28,-26505.295249585834
0.2,29,-27105.295249585834
0.2,30,-30905.295249585834
0.2,31,-30705.295249585834
0.2,32,-33105.29524958583
0.2,33,-31505.295249585834
0.2,34,-37105.29524958583
0.2,35,-37905.29524958583
0.2,36,-37905.29524958583
0.2,37,-39305.29524958583
0.2,38,-41505.29524958583
0.2,39,-38705.29524958583
0.2,40,-40705.29524958583
0.2,41,-38905.29524958583
0.2,42,-37905.29524958583
0.2,43,-35905.29524958583
0.2,44,-36905.29524958583
0.2,45,-34305.29524958583
0.2,46,-37905.29524958583
0.2,47,-40105.29524958583
0.2,48,-37305.29524958583
0.2,49,-37705.29524958583
0.2,50,-33705.29524958583
0.2,51,-31905.295249585834
0.2,52,-26905.295249585834
0.2,53,-28705.295249585834
0.2,54,-33105.29524958583
0.2,55,-39505.29524958583
0.2,56,-39905.29524958583
0.2,57,-37905.29524958583
0.2,58,-37705.29524958583
0.2,59,-38705.29524958583
0.2,60,-43705.29524958583
0.2,61,-45505.29524958583
0.2,62,-44705.29524958583
0.2,63,-43905.29524958583
0.2,64,-44305.29524958583
0.2,65,-41905.29524958583
0.2,66,-38905.29524958583
0.2,67,-31705.295249585834
0.2,68,-24505.295249585834
0.2,69,-19505.295249585834
0.2,70,-17705.295249585834
0.2,71,-16905.295249585834
0.2,72,-19305.295249585834
0.2,73,-15505.295249585834
0.2,74,-14505.295249585834
0.2,75,-13505.295249585834
0.2,76,-6305.2952495858335
0.2,77,-8505.295249585834
0.2,78,-11305.295249585834
0.2,79,-8105.2952495858335
0.2,80,-7905.2952495858335
0.2,81,-10305.295249585834
0.2,82,-5305.2952495858335
0.2,83,-4905.2952495858335
0.2,84,-3105.2952495858335
0.2,85,-3705.2952495858335
0.2,86,-1905.2952495858335
0.2,87,-305.2952495858335
0.2,88,7494.7047504141665
0.2,89,12094.704750414166
0.2,90,14094.704750414166
0.2,91,14094.704750414166
0.2,92,9894.704750414166
0.2,93,9894.704750414166
0.2,94,10094.704750414166
0.2,95,14694.704750414166
0.2,96,12894.704750414166
0.2,97,17894.704750414166
0.2,98,19894.704750414166
0.2,99,22494.704750414166
0.3,1,-15052.058553481402
0.3,2,-1852.0585534814018
0.3,3,6347.941446518598
0.3,4,8947.941446518598
0.3,5,9347.941446518598
